cf1,start,end,cf2,start,end,set,clone?,type
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,795,811,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,1021,1041,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYShapeRenderer.java,175,186,jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYBlockRenderer.java,164,176,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,175,186,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,217,228,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,jfreechart/src/main/java/org/jfree/data/time/Month.java,128,140,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,903,935,jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,1032,1065,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYShapeRenderer.java,160,171,jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYBlockRenderer.java,164,176,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,795,811,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,894,914,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,261,277,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,258,272,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,258,272,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,255,271,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,903,935,jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,967,1000,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,870,902,jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,1032,1065,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/axis/AxisLocation.java,93,104,jfreechart/src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,40,51,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,870,902,jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,967,1000,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/xy/XYDataItem.java,70,95,jfreechart/src/main/java/org/jfree/data/time/FixedMillisecond.java,86,115,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/xy/XYSeries.java,466,485,jfreechart/src/main/java/org/jfree/data/time/TimePeriodValues.java,294,313,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,904,920,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,1021,1041,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,904,920,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,894,914,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Week.java,134,152,jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,13,26,jfreechart/src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,34,46,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/xy/XYDataItem.java,70,95,jfreechart/src/main/java/org/jfree/data/time/Millisecond.java,194,225,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,462,473,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,477,488,decomp,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Week.java,134,152,jfreechart/src/main/java/org/jfree/data/time/Month.java,112,124,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,540,556,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,591,607,decomp,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,261,270,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,324,333,orig,TP,T1
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,353,368,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,373,385,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,381,390,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,324,333,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,381,390,jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,261,270,orig,TP,T2
jfreechart/src/main/java/org/jfree/data/xy/XYSeriesCollection.java,80,88,jfreechart/src/main/java/org/jfree/data/time/TimeSeriesCollection.java,195,206,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,386,402,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,157,173,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,455,470,jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,353,368,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,175,186,jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java,477,488,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,462,473,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,217,228,orig,TP,T2
